Date,Price,Open,High,Low,Vol.,Change %
06/21/2022,"1,224.54","1,220.76","1,240.80","1,212.69",172.80K,-0.08%
06/20/2022,"1,225.56","1,258.30","1,262.83","1,223.03",168.77K,-2.58%
06/17/2022,"1,258.03","1,254.05","1,259.39","1,229.74",187.30K,-1.74%
06/16/2022,"1,280.37","1,266.87","1,292.02","1,263.56",156.46K,2.18%
06/15/2022,"1,253.09","1,263.96","1,268.33","1,231.12",167.43K,-0.64%
06/14/2022,"1,261.16","1,247.39","1,271.28","1,245.26",145.64K,0.02%
06/13/2022,"1,260.85","1,295.26","1,300.45","1,260.85",199.02K,-4.89%
06/10/2022,"1,325.69","1,332.93","1,344.85","1,325.69",136.59K,-1.28%
06/09/2022,"1,342.92","1,344.56","1,346.13","1,335.28",126.60K,0.07%
06/08/2022,"1,342.03","1,328.95","1,348.40","1,325.65",163.07K,1.33%
06/07/2022,"1,324.37","1,323.19","1,324.37","1,297.98",153.98K,-0.20%
06/06/2022,"1,327.04","1,328.73","1,336.96","1,320.97",132.83K,-0.03%
06/03/2022,"1,327.40","1,325.49","1,329.90","1,313.40",100.18K,0.14%
06/02/2022,"1,325.49","1,339.12","1,342.47","1,319.85",133.90K,-0.75%
06/01/2022,"1,335.49","1,329.02","1,341.47","1,323.07",127.58K,0.22%
05/31/2022,"1,332.59","1,342.08","1,342.08","1,324.46",127.92K,-0.77%
05/30/2022,"1,342.87","1,337.39","1,342.87","1,329.38",121.53K,0.54%
05/27/2022,"1,335.68","1,311.78","1,336.99","1,310.64",139.41K,2.00%
05/26/2022,"1,309.50","1,312.56","1,319.21","1,304.59",127.93K,-0.09%
05/25/2022,"1,310.70","1,277.54","1,311.32","1,273.29",172.70K,2.98%
05/24/2022,"1,272.71","1,255.77","1,272.71","1,242.36",146.37K,1.38%
05/23/2022,"1,255.35","1,287.49","1,287.65","1,245.41",139.33K,-2.12%
05/20/2022,"1,282.51","1,284.89","1,296.00","1,273.40",110.10K,-0.08%
05/19/2022,"1,283.55","1,259.59","1,291.49","1,255.63",130.08K,-0.22%
05/18/2022,"1,286.41","1,289.50","1,298.69","1,268.13",159.94K,0.54%
05/17/2022,"1,279.55","1,211.88","1,279.55","1,203.51",161.82K,5.31%
05/16/2022,"1,215.08","1,254.88","1,258.25","1,214.29",172.77K,-0.71%
05/13/2022,"1,223.76","1,281.28","1,284.94","1,219.52",237.56K,-4.38%
05/12/2022,"1,279.76","1,337.01","1,339.25","1,279.48",163.22K,-5.19%
05/11/2022,"1,349.82","1,344.14","1,355.11","1,324.20",94.77K,0.32%
05/10/2022,"1,345.46","1,312.10","1,345.46","1,285.67",157.23K,2.39%
05/09/2022,"1,314.04","1,358.56","1,360.64","1,308.34",200.88K,-4.31%
05/06/2022,"1,373.21","1,399.54","1,399.54","1,371.00",129.91K,-2.25%
05/05/2022,"1,404.88","1,402.60","1,405.43","1,373.42",122.13K,1.10%
05/04/2022,"1,389.59","1,415.43","1,415.45","1,389.59",114.19K,-1.96%
04/29/2022,"1,417.31","1,400.88","1,417.31","1,394.17",128.04K,1.17%
04/28/2022,"1,400.88","1,400.60","1,407.82","1,392.24",91.68K,-0.08%
04/27/2022,"1,402.03","1,394.85","1,407.70","1,362.87",108.12K,0.37%
04/26/2022,"1,396.90","1,347.83","1,397.43","1,318.50",181.78K,2.23%
04/25/2022,"1,366.39","1,444.79","1,445.62","1,356.36",202.43K,-5.40%
04/22/2022,"1,444.32","1,439.32","1,455.15","1,419.05",150.76K,1.22%
04/21/2022,"1,426.87","1,434.77","1,452.41","1,422.70",172.36K,-0.60%
04/20/2022,"1,435.50","1,440.90","1,453.81","1,434.87",150.22K,-0.35%
04/19/2022,"1,440.61","1,471.63","1,478.50","1,440.61",156.62K,-1.88%
04/18/2022,"1,468.25","1,493.17","1,493.24","1,466.73",194.44K,-1.71%
04/15/2022,"1,493.74","1,514.89","1,518.85","1,491.26",181.77K,-1.60%
04/14/2022,"1,518.01","1,526.49","1,534.28","1,517.07",119.61K,-0.48%
04/13/2022,"1,525.39","1,512.37","1,526.44","1,506.45",143.87K,1.21%
04/12/2022,"1,507.20","1,530.30","1,532.03","1,506.41",152.48K,-1.12%
04/08/2022,"1,524.31","1,541.78","1,547.60","1,524.31",156.34K,-1.14%
04/07/2022,"1,541.96","1,561.14","1,566.09","1,541.96",198.97K,-0.97%
04/06/2022,"1,557.11","1,534.23","1,558.41","1,529.23",203.57K,1.16%
04/05/2022,"1,539.20","1,544.34","1,549.77","1,539.20",125.17K,-0.57%
04/04/2022,"1,548.04","1,558.21","1,558.98","1,546.46",160.18K,0.36%
04/01/2022,"1,542.47","1,509.01","1,542.47","1,506.11",195.61K,2.25%
03/31/2022,"1,508.53","1,502.38","1,512.47","1,500.67",121.69K,0.55%
03/30/2022,"1,500.23","1,497.98","1,513.91","1,496.59",163.90K,-0.02%
03/29/2022,"1,500.57","1,484.95","1,501.05","1,484.95",110.33K,1.11%
03/28/2022,"1,484.16","1,493.12","1,497.06","1,477.72",177.24K,-0.95%
03/25/2022,"1,498.36","1,499.34","1,503.18","1,494.28",109.44K,0.06%
03/24/2022,"1,497.44","1,506.49","1,506.79","1,496.96",115.64K,-0.54%
03/23/2022,"1,505.59","1,514.61","1,519.58","1,505.59",132.33K,-0.52%
03/22/2022,"1,513.40","1,507.38","1,516.70","1,506.10",155.23K,0.71%
03/21/2022,"1,502.67","1,480.29","1,502.67","1,480.29",124.70K,1.74%
03/18/2022,"1,476.94","1,474.02","1,482.96","1,474.02",148.42K,0.48%
03/17/2022,"1,469.92","1,480.32","1,480.86","1,469.92",109.38K,-0.19%
03/16/2022,"1,472.69","1,475.17","1,478.42","1,467.95",106.84K,0.26%
03/15/2022,"1,468.89","1,461.40","1,469.52","1,455.16",136.42K,0.53%
03/14/2022,"1,461.10","1,471.44","1,473.98","1,454.34",177.21K,-1.09%
03/11/2022,"1,477.14","1,487.92","1,490.83","1,469.22",178.19K,-0.88%
03/10/2022,"1,490.24","1,491.90","1,505.50","1,490.24",148.75K,0.07%
03/09/2022,"1,489.25","1,493.96","1,497.75","1,485.15",190.16K,-0.06%
03/08/2022,"1,490.17","1,500.07","1,506.65","1,486.68",222.31K,-1.26%
03/07/2022,"1,509.12","1,514.76","1,518.32","1,505.79",222.54K,-1.06%
03/04/2022,"1,525.34","1,525.23","1,529.93","1,519.97",220.07K,0.19%
03/03/2022,"1,522.49","1,507.53","1,522.49","1,502.41",244.08K,1.59%
03/02/2022,"1,498.61","1,516.31","1,517.49","1,495.16",291.45K,-1.42%
03/01/2022,"1,520.12","1,521.44","1,525.00","1,515.49",187.03K,0.19%
02/28/2022,"1,517.18","1,525.58","1,533.32","1,512.45",193.57K,-0.61%
02/25/2022,"1,526.50","1,531.97","1,540.13","1,526.50",198.11K,0.29%
02/24/2022,"1,522.04","1,537.50","1,540.13","1,503.22",275.31K,-1.09%
02/23/2022,"1,538.83","1,536.60","1,547.19","1,534.19",158.14K,0.42%
02/22/2022,"1,532.36","1,532.07","1,532.36","1,510.07",223.63K,-0.07%
02/21/2022,"1,533.40","1,530.65","1,537.56","1,522.48",163.18K,0.13%
02/18/2022,"1,531.47","1,525.21","1,533.53","1,523.88",155.11K,-0.59%
02/17/2022,"1,540.51","1,521.37","1,540.51","1,521.37",146.57K,1.25%
02/16/2022,"1,521.47","1,534.39","1,534.50","1,517.52",122.06K,-0.39%
02/15/2022,"1,527.36","1,508.25","1,530.04","1,506.69",180.95K,1.48%
02/14/2022,"1,505.07","1,530.50","1,536.77","1,505.07",254.06K,-2.64%
02/11/2022,"1,545.92","1,544.76","1,549.37","1,540.50",167.68K,-0.20%
02/10/2022,"1,548.95","1,554.98","1,557.89","1,536.02",225.00K,-0.22%
02/09/2022,"1,552.44","1,554.59","1,570.32","1,552.44",230.55K,0.13%
